field_name;field_label_en;field_label_bn
group_wash/WSH_6;WSH_6;WSH_6
group_wash/WSH_7;WSH_7;WSH_7
group_wash/WSH_8;WSH_8;WSH_8
group_wash/WSH_9_a;WSH_9_a;WSH_9_a
group_wash/WSH_10_b;WSH_10_b;WSH_10_b
group_protection/PRO_13_b;PRO_13_b;PRO_13_b
group_smsd/SMS_10_a;SMS_10_a;SMS_10_a
group_smsd/SMS_10_b;SMS_10_b;SMS_10_b
group_smsd/SMS_11;SMS_11;SMS_11
group_smsd/SMS_12_a;SMS_12_a;SMS_12_a
group_smsd/SMS_12_b;SMS_12_b;SMS_12_b
group_smsd/SMS_13;SMS_13;SMS_13
group_wash/WSH_9_b;WSH_9_b;WSH_9_b
group_protection/PRO_13_b.12;PRO_13_b.12;PRO_13_b.12
group_protection/PRO_13_B3;PRO_13_B3;PRO_13_B3
