formatted_name;icon_file_name;icon_file_name_selected;label_ar
Planned camps;planned_site;planned_site_selected;الموقع المخطط
Spontaneous site;spontaneous_site;spontaneous_site_selected;موقع عفوي
Collective site;collective_site;collective_site_selected;موقع جماعي
Coordination site;coordination_site;coordination_site_selected;موقع التنسيق
Reception site;reception_site;reception_site_selected;موقع الاستقبال
Spontaneous site;spontaneous_site;spontaneous_site_selected;موقع عفوي
Transit site;transit_site;transit_site_selected;موقع العبور
Undefined site;undefined_site;undefined_site_selected;موقع غير محدد
